title,type,genre,director,rating_imdb,content_rag
Miss Jerry,movie,Romance,Alexander Black,5.9,JUDUL: Miss Jerry | TIPE: movie | GENRE: Romance | SUTRADARA: Alexander Black | RATING IMDB: 5.9 | PLOT: The adventures of a female reporter in the 1890s.
FantÃ´mas - Ã l'ombre de la guillotine,movie,"Crime, Drama",Louis Feuillade,7.0,"JUDUL: FantÃ´mas - Ã l'ombre de la guillotine | TIPE: movie | GENRE: Crime, Drama | SUTRADARA: Louis Feuillade | RATING IMDB: 7.0 | PLOT: Inspector Juve is tasked to investigate and capture an infamous criminal Fantomas."
Il calvario di una madre,movie,Drama,Victor SjÃ¶strÃ¶m,7.1,JUDUL: Il calvario di una madre | TIPE: movie | GENRE: Drama | SUTRADARA: Victor SjÃ¶strÃ¶m | RATING IMDB: 7.1 | PLOT: Single mother is separated from her children due to financial struggles.
Juve contre FantÃ´mas,movie,"Crime, Drama",Louis Feuillade,7.0,"JUDUL: Juve contre FantÃ´mas | TIPE: movie | GENRE: Crime, Drama | SUTRADARA: Louis Feuillade | RATING IMDB: 7.0 | PLOT: In Part Two of Louis Feuillade's 5 1/2-hour epic follows FantÃ'mas, the criminal lord of Paris, master of disguise, the creeping assassin in black, as he is pursued by the equally resourceful Inspector Juve."
Ma l'amor mio non muore...,movie,Drama,Mario Caserini,6.2,"JUDUL: Ma l'amor mio non muore... | TIPE: movie | GENRE: Drama | SUTRADARA: Mario Caserini | RATING IMDB: 6.2 | PLOT: Leslie Swayne, an adventurer, in order to obtain enough money to satisfy the needs of his extravagant life, has been bribed to steal the plans of the fortification from the staff officers ..."
Maudite soit la guerre,movie,"Drama, War",Alfred Machin,6.5,"JUDUL: Maudite soit la guerre | TIPE: movie | GENRE: Drama, War | SUTRADARA: Alfred Machin | RATING IMDB: 6.5 | PLOT: An army pilot is on a visit at the home of another army pilot in the neighboured country. He falls in love with his sister. After the outbreak of a war between the two countries, her ..."
Le mort qui tue,movie,"Crime, Drama, Mystery",Louis Feuillade,7.0,"JUDUL: Le mort qui tue | TIPE: movie | GENRE: Crime, Drama, Mystery | SUTRADARA: Louis Feuillade | RATING IMDB: 7.0 | PLOT: After a body disappears from inside the prison, a series of crimes take place, all seemingly by the dead man. With Juve presumed dead, Fandor must investigate alone. Will Fantomas finally be brought to justice?"
Amore di madre,movie,Drama,D.W. Griffith,5.8,"JUDUL: Amore di madre | TIPE: movie | GENRE: Drama | SUTRADARA: D.W. Griffith | RATING IMDB: 5.8 | PLOT: John Howard Payne at his most miserable point in life, writes a song which becomes popular and inspires other people at some point in their lives."
Lo studente di Praga,movie,"Drama, Fantasy, Horror","Paul Wegener, Stellan Rye",6.5,"JUDUL: Lo studente di Praga | TIPE: movie | GENRE: Drama, Fantasy, Horror | SUTRADARA: Paul Wegener, Stellan Rye | RATING IMDB: 6.5 | PLOT: Balduin, a student of Prague, leaves his roystering companions in the beer garden, when he finds he has reached the end of his resources. He is scarcely seated in a quiet corner when a ..."
Traffic in Souls,movie,"Crime, Drama",George Loane Tucker,6.0,"JUDUL: Traffic in Souls | TIPE: movie | GENRE: Crime, Drama | SUTRADARA: George Loane Tucker | RATING IMDB: 6.0 | PLOT: A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it."
Gli ultimi giorni di Pompei,movie,"Adventure, Drama","Mario Caserini, Eleuterio Rodolfi",6.2,"JUDUL: Gli ultimi giorni di Pompei | TIPE: movie | GENRE: Adventure, Drama | SUTRADARA: Mario Caserini, Eleuterio Rodolfi | RATING IMDB: 6.2 | PLOT: Two love triangles intersect in ancient Pompei."
Assunta Spina,movie,Drama,"Francesca Bertini, Gustavo Serena",6.4,"JUDUL: Assunta Spina | TIPE: movie | GENRE: Drama | SUTRADARA: Francesca Bertini, Gustavo Serena | RATING IMDB: 6.4 | PLOT: Assunta Spina is a tragedy set in Naples at the beginning of the twentieth century. Assunta and Michele are in love but others come between them and there is much jealousy. They fight and ..."
The Avenging Conscience: or 'Thou Shalt Not Kill',movie,"Crime, Drama, Horror",D.W. Griffith,6.4,"JUDUL: The Avenging Conscience: or 'Thou Shalt Not Kill' | TIPE: movie | GENRE: Crime, Drama, Horror | SUTRADARA: D.W. Griffith | RATING IMDB: 6.4 | PLOT: Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder."
The Bargain,movie,Western,Reginald Barker,6.5,"JUDUL: The Bargain | TIPE: movie | GENRE: Western | SUTRADARA: Reginald Barker | RATING IMDB: 6.5 | PLOT: After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch, he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ..."
Cabiria,movie,"Adventure, Drama, History",Giovanni Pastrone,7.1,"JUDUL: Cabiria | TIPE: movie | GENRE: Adventure, Drama, History | SUTRADARA: Giovanni Pastrone | RATING IMDB: 7.1 | PLOT: Cabiria is a Roman child when her home is destroyed by a volcano. Sold in Carthage to be sacrificed in a temple, is saved by Fulvio, a Roman spy. But danger lurks, and hatred between Rome and Carthage can only lead to war."
Cinderella,movie,"Fantasy, Drama",James Kirkwood,6.0,"JUDUL: Cinderella | TIPE: movie | GENRE: Fantasy, Drama | SUTRADARA: James Kirkwood | RATING IMDB: 6.0 | PLOT: Though mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother."
L'enfant de Paris,movie,"Crime, Drama",LÃ©once Perret,7.5,"JUDUL: L'enfant de Paris | TIPE: movie | GENRE: Crime, Drama | SUTRADARA: LÃ©once Perret | RATING IMDB: 7.5 | PLOT: The young daughter of an army captain missing in action runs away from school and is kidnapped by Parisian lowlifes. When the kidnapper flees to Nice with the child, the kind-hearted employee of one of his accomplices sets off in pursuit."
FantÃ´mas contre FantÃ´mas,movie,"Crime, Drama",Louis Feuillade,6.9,"JUDUL: FantÃ´mas contre FantÃ´mas | TIPE: movie | GENRE: Crime, Drama | SUTRADARA: Louis Feuillade | RATING IMDB: 6.9 | PLOT: The mystery of the drama is the appearance of the finger-print of a dead artist upon the neck of Princess Sonia Danidoff, whom Fantomas, as Nanteuil, relieves of her pearl necklace, and ..."
A Florida Enchantment,movie,Comedy,Sidney Drew,5.8,"JUDUL: A Florida Enchantment | TIPE: movie | GENRE: Comedy | SUTRADARA: Sidney Drew | RATING IMDB: 5.8 | PLOT: A young woman discovers a seed that can make women act like men and men act like women. She decides to take one, then slips one to her maid and another to her fiancÃ©. The fun begins."
Der Golem,movie,Horror,"Henrik Galeen, Paul Wegener",6.8,"JUDUL: Der Golem | TIPE: movie | GENRE: Horror | SUTRADARA: Henrik Galeen, Paul Wegener | RATING IMDB: 6.8 | PLOT: In this version of the golem legend, the golem, a clay statue brought to life by Rabbi Loew in 16th century Prague to save the Jews from the ongoing brutal persecution by the city's rulers,..."
Det hemmelighedsfulde X,movie,"Drama, Mystery",Benjamin Christensen,7.0,"JUDUL: Det hemmelighedsfulde X | TIPE: movie | GENRE: Drama, Mystery | SUTRADARA: Benjamin Christensen | RATING IMDB: 7.0 | PLOT: On the brink of war, Lt. van Hauen is summoned to take command of the cruiser, but due to unforeseen events, he is wrongfully convicted as a traitor."
"His Majesty, the Scarecrow of Oz",movie,"Family, Fantasy, Adventure",J. Farrell MacDonald,5.2,"JUDUL: His Majesty, the Scarecrow of Oz | TIPE: movie | GENRE: Family, Fantasy, Adventure | SUTRADARA: J. Farrell MacDonald | RATING IMDB: 5.2 | PLOT: A wicked king has taken over the Emerald City, and wants his daughter, Princess Gloria, to marry the horrid courtier Googly-Goo, though she loves Pon, the Gardener's Boy. The camera now ..."
Hypocrites,movie,Drama,Lois Weber,6.6,"JUDUL: Hypocrites | TIPE: movie | GENRE: Drama | SUTRADARA: Lois Weber | RATING IMDB: 6.6 | PLOT: The parallel stories of a modern preacher and a medieval monk, Gabriel the Ascetic, who is killed by an ignorant mob for making a nude statue representing Truth, which is also represented by a ghostly naked girl who flits throughout the film."
In the Land of the Head Hunters,movie,"Drama, History",Edward S. Curtis,5.8,"JUDUL: In the Land of the Head Hunters | TIPE: movie | GENRE: Drama, History | SUTRADARA: Edward S. Curtis | RATING IMDB: 5.8 | PLOT: In 1911, as part of his massive undertaking, famed Northwest photographer Edward S. Curtis travelled to Vancouver Island, British Columbia, to visit the Kwakwaka'wakw. By the next year, ..."
Judith of Bethulia,movie,Drama,D.W. Griffith,6.1,"JUDUL: Judith of Bethulia | TIPE: movie | GENRE: Drama | SUTRADARA: D.W. Griffith | RATING IMDB: 6.1 | PLOT: A religious woman seeks to save her people from destruction by seducing and murdering the enemy leader, but her plans get complicated once she falls for him."
The Patchwork Girl of Oz,movie,"Adventure, Family, Fantasy",J. Farrell MacDonald,5.5,"JUDUL: The Patchwork Girl of Oz | TIPE: movie | GENRE: Adventure, Family, Fantasy | SUTRADARA: J. Farrell MacDonald | RATING IMDB: 5.5 | PLOT: Ojo and Unc Nunkie are out of food, so they decide to journey to the Emerald City where they will never starve. Along the way, they meet Mewel, a waif and stray (mule) who leads them to Dr...."
The Perils of Pauline,movie,"Action, Adventure, Drama","Louis J. Gasnier, Donald MacKenzie",6.3,"JUDUL: The Perils of Pauline | TIPE: movie | GENRE: Action, Adventure, Drama | SUTRADARA: Louis J. Gasnier, Donald MacKenzie | RATING IMDB: 6.3 | PLOT: Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncle's secretary has been named as her guardian until she marries, at which time she will officially take ..."
The Squaw Man,movie,"Action, Drama, Romance","Oscar Apfel, Cecil B. DeMille",5.7,"JUDUL: The Squaw Man | TIPE: movie | GENRE: Action, Drama, Romance | SUTRADARA: Oscar Apfel, Cecil B. DeMille | RATING IMDB: 5.7 | PLOT: A chivalrous British officer takes the blame for his cousin's embezzlement and journeys to the American West to start a new life on a cattle ranch."
La madonnina del porto,movie,Drama,Edwin S. Porter,6.1,"JUDUL: La madonnina del porto | TIPE: movie | GENRE: Drama | SUTRADARA: Edwin S. Porter | RATING IMDB: 6.1 | PLOT: A wealthy resident attempts to dispossess squatters who live near his home, which leads to a false accusation of murder."
Tillie's Punctured Romance,movie,Comedy,"Mack Sennett, Charles Bennett",6.3,"JUDUL: Tillie's Punctured Romance | TIPE: movie | GENRE: Comedy | SUTRADARA: Mack Sennett, Charles Bennett | RATING IMDB: 6.3 | PLOT: A con man from the city dupes a wealthy country girl into marriage."
A tolonc,movie,Drama,Michael Curtiz,6.3,"JUDUL: A tolonc | TIPE: movie | GENRE: Drama | SUTRADARA: Michael Curtiz | RATING IMDB: 6.3 | PLOT: Betty (Lili Berky, Duel For Nothing), a young woman living in the country, is told by her dying father that he is really her uncle and raised her as his own when her mother was sent to ..."
Uncle Tom's Cabin,movie,Drama,William Robert Daly,5.3,JUDUL: Uncle Tom's Cabin | TIPE: movie | GENRE: Drama | SUTRADARA: William Robert Daly | RATING IMDB: 5.3 | PLOT: A black and white silent film based on Harriet Beecher Stowe's novel documenting the life and times of Uncle Tom.
The Virginian,movie,Western,Cecil B. DeMille,5.6,"JUDUL: The Virginian | TIPE: movie | GENRE: Western | SUTRADARA: Cecil B. DeMille | RATING IMDB: 5.6 | PLOT: A good-natured but chivalrous cowboy romances the local schoolmarm and leads the posse that brings a gang of rustlers, which includes his best friend, to justice."
The Wishing Ring: An Idyll of Old England,movie,"Comedy, Drama",Maurice Tourneur,6.4,"JUDUL: The Wishing Ring: An Idyll of Old England | TIPE: movie | GENRE: Comedy, Drama | SUTRADARA: Maurice Tourneur | RATING IMDB: 6.4 | PLOT: After being expelled from college, Giles runs away from home and meets a young lady who he falls for."
The Wrath of the Gods,movie,"Drama, Romance",Reginald Barker,5.7,"JUDUL: The Wrath of the Gods | TIPE: movie | GENRE: Drama, Romance | SUTRADARA: Reginald Barker | RATING IMDB: 5.7 | PLOT: An American sailor falls in love with a fisherman's daughter and convinces her that Jesus is more powerful than the gods who have cursed her."
Alias Jimmy Valentine,movie,"Crime, Drama",Maurice Tourneur,6.6,"JUDUL: Alias Jimmy Valentine | TIPE: movie | GENRE: Crime, Drama | SUTRADARA: Maurice Tourneur | RATING IMDB: 6.6 | PLOT: After robbing a bank, a criminal is wrongfully pardoned from prison."
Alice in Wonderland,movie,"Adventure, Family, Fantasy",W.W. Young,6.2,"JUDUL: Alice in Wonderland | TIPE: movie | GENRE: Adventure, Family, Fantasy | SUTRADARA: W.W. Young | RATING IMDB: 6.2 | PLOT: Alice goes with her sister to a picnic and then she falls asleep and starts dreaming about a wonderland full of talking animals and walking playing cards."
Nascita di una nazione,movie,"Drama, History, War",D.W. Griffith,6.3,"JUDUL: Nascita di una nazione | TIPE: movie | GENRE: Drama, History, War | SUTRADARA: D.W. Griffith | RATING IMDB: 6.3 | PLOT: The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan."
Carmen,movie,Drama,Cecil B. DeMille,6.4,"JUDUL: Carmen | TIPE: movie | GENRE: Drama | SUTRADARA: Cecil B. DeMille | RATING IMDB: 6.4 | PLOT: In order to help her smuggler kinsmen, a sultry gypsy seduces and corrupts an officer of the Civil Guard turning him into a traitor and murderer."
The Cheat,movie,"Drama, Romance",Cecil B. DeMille,6.6,"JUDUL: The Cheat | TIPE: movie | GENRE: Drama, Romance | SUTRADARA: Cecil B. DeMille | RATING IMDB: 6.6 | PLOT: A venal, spoiled stockbroker's wife impulsively embezzles $10,000 from the charity she chairs and desperately turns to a Burmese ivory trader to replace the stolen money."
The Coward,movie,"Drama, History, War","Reginald Barker, Thomas H. Ince",6.0,"JUDUL: The Coward | TIPE: movie | GENRE: Drama, History, War | SUTRADARA: Reginald Barker, Thomas H. Ince | RATING IMDB: 6.0 | PLOT: Colonel Winslow, veteran of the Mexican War, hopes for a great future for his only son, Frank. At the outbreak of the Civil War, a recruiting station is opened in the Virginia village where..."
La vampira,movie,Drama,Frank Powell,5.8,JUDUL: La vampira | TIPE: movie | GENRE: Drama | SUTRADARA: Frank Powell | RATING IMDB: 5.8 | PLOT: A married diplomat falls hopelessly under the spell of a predatory woman.
The Golden Chance,movie,Drama,Cecil B. DeMille,6.4,JUDUL: The Golden Chance | TIPE: movie | GENRE: Drama | SUTRADARA: Cecil B. DeMille | RATING IMDB: 6.4 | PLOT: Mary Denby becomes a seamstress after her husband Steve wastes their money on booze. Her employer provides her as an escort to accompany millionaire Roger Manning. Her husband tries ...
HÃ¦vnens Nat,movie,"Crime, Drama, Horror",Benjamin Christensen,6.8,"JUDUL: HÃ¦vnens Nat | TIPE: movie | GENRE: Crime, Drama, Horror | SUTRADARA: Benjamin Christensen | RATING IMDB: 6.8 | PLOT: A criminal escapes from prison, however a betrayal leads to his second arrest."
The Italian,movie,Drama,Reginald Barker,6.6,JUDUL: The Italian | TIPE: movie | GENRE: Drama | SUTRADARA: Reginald Barker | RATING IMDB: 6.6 | PLOT: An immigrant leaves his sweetheart in Italy to find a better life across the sea in the grimy slums of New York. They are eventually reunited and marry. But life in New York is hard and ...
Maciste,movie,Adventure,"Luigi Romano Borgnetto, Vincenzo Denizot",5.9,"JUDUL: Maciste | TIPE: movie | GENRE: Adventure | SUTRADARA: Luigi Romano Borgnetto, Vincenzo Denizot | RATING IMDB: 5.9 | PLOT: A young girl, pursued by a band of conspirators, hides in a movie theatre where she watches the film Cabiria. She determines to seek the aid of that film's strongman, Maciste. When she ..."
Martyrs of the Alamo,movie,"Drama, History, War",Christy Cabanne,5.6,"JUDUL: Martyrs of the Alamo | TIPE: movie | GENRE: Drama, History, War | SUTRADARA: Christy Cabanne | RATING IMDB: 5.6 | PLOT: The story of the defense of the mission-turned-fortress by 185 Texans against an overwhelming Mexican army in 1836."
The Nigger,movie,Drama,Edgar Lewis,6.1,"JUDUL: The Nigger | TIPE: movie | GENRE: Drama | SUTRADARA: Edgar Lewis | RATING IMDB: 6.1 | PLOT: Philip Morrow grows to manhood in the belief that the blood in his veins is the most aristocratic in the South. ""Clif"" Noyes, a distiller of whiskey of the fiery brand manufactured for ..."
Posle smerti,movie,Drama,Yevgeny Bauer,6.9,"JUDUL: Posle smerti | TIPE: movie | GENRE: Drama | SUTRADARA: Yevgeny Bauer | RATING IMDB: 6.9 | PLOT: Andrei lives a secluded life with his aunt, studying and thinking about his now-deceased mother. His friend Tsenin is concerned, and tries to get Andrei to accompany him to social events. ..."
Rapsodia satanica,movie,"Drama, Fantasy, Horror",Nino Oxilia,6.9,"JUDUL: Rapsodia satanica | TIPE: movie | GENRE: Drama, Fantasy, Horror | SUTRADARA: Nino Oxilia | RATING IMDB: 6.9 | PLOT: A Faustian tale about an old woman who makes a pact with Mephisto to regain her youth, in return she must stay away from love. After the deal she meets two brothers who fall in love with her."
La rigenerazione,movie,"Biography, Crime, Drama",Raoul Walsh,6.8,"JUDUL: La rigenerazione | TIPE: movie | GENRE: Biography, Crime, Drama | SUTRADARA: Raoul Walsh | RATING IMDB: 6.8 | PLOT: A boy surrounded by violence grows up to become an infamous gangster."
I vampiri,movie,"Action, Adventure, Crime",Louis Feuillade,7.3,"JUDUL: I vampiri | TIPE: movie | GENRE: Action, Adventure, Crime | SUTRADARA: Louis Feuillade | RATING IMDB: 7.3 | PLOT: An intrepid reporter and his loyal friend battle a bizarre secret society of criminals known as The Vampires."
Young Romance,movie,Comedy,George Melford,5.9,"JUDUL: Young Romance | TIPE: movie | GENRE: Comedy | SUTRADARA: George Melford | RATING IMDB: 5.9 | PLOT: Young Romance, released in 1915, is a recent rediscovery that forever silences the claim that refined comedy cannot be conveyed via the screen. This disguise plot, worthy of an Elizabethan ..."
"20,000 Leagues Under the Sea",movie,"Action, Adventure, Sci-Fi",Stuart Paton,6.2,"JUDUL: 20,000 Leagues Under the Sea | TIPE: movie | GENRE: Action, Adventure, Sci-Fi | SUTRADARA: Stuart Paton | RATING IMDB: 6.2 | PLOT: A French professor and his daughter accompany Captain Nemo on an adventure aboard a submarine."
The Children in the House,movie,Drama,"Chester M. Franklin, Sidney Franklin",4.5,"JUDUL: The Children in the House | TIPE: movie | GENRE: Drama | SUTRADARA: Chester M. Franklin, Sidney Franklin | RATING IMDB: 4.5 | PLOT: Roy Somerville has turned out a rather interesting story that will hold the interest of the majority of audiences as produced by the Triangle-Fine Arts Company. It is a five-reel feature ..."
Civilization,movie,Drama,"Reginald Barker, Thomas H. Ince",6.0,"JUDUL: Civilization | TIPE: movie | GENRE: Drama | SUTRADARA: Reginald Barker, Thomas H. Ince | RATING IMDB: 6.0 | PLOT: Christ takes on the form of a pacifist count to end a senseless war."
The Devil's Needle,movie,Drama,Chester Withey,6.8,"JUDUL: The Devil's Needle | TIPE: movie | GENRE: Drama | SUTRADARA: Chester Withey | RATING IMDB: 6.8 | PLOT: Wynne Mortimer, a pampered society girl and daughter of William Mortimer, a prominent business man, chances to meet David White, a young artist whose fame is already assured, at an art ..."
DÃ¶dskyssen,movie,"Comedy, Crime, Drama",Victor SjÃ¶strÃ¶m,6.1,"JUDUL: DÃ¶dskyssen | TIPE: movie | GENRE: Comedy, Crime, Drama | SUTRADARA: Victor SjÃ¶strÃ¶m | RATING IMDB: 6.1 | PLOT: Dr Monro is found dead in his home. Three people are testifying before the police about what happened."
Flirting with Fate,movie,"Adventure, Comedy",Christy Cabanne,6.4,"JUDUL: Flirting with Fate | TIPE: movie | GENRE: Adventure, Comedy | SUTRADARA: Christy Cabanne | RATING IMDB: 6.4 | PLOT: In the midst of an emotional depression, a man hires a murderer to kill him. But the despair soon passes, and the man must now escape the killer he's hired to end his life."
Going Straight,movie,"Crime, Drama","Chester M. Franklin, Sidney Franklin",5.3,"JUDUL: Going Straight | TIPE: movie | GENRE: Crime, Drama | SUTRADARA: Chester M. Franklin, Sidney Franklin | RATING IMDB: 5.3 | PLOT: A man and his wife both have criminal pasts, but have quit crime and are now respectable citizens. One day a member of their old gang shows up and threatens to expose them if they don't ..."
The Good Bad-Man,movie,"Romance, Western",Allan Dwan,6.6,"JUDUL: The Good Bad-Man | TIPE: movie | GENRE: Romance, Western | SUTRADARA: Allan Dwan | RATING IMDB: 6.6 | PLOT: An outlaw calling himself Passin' Through halts his ""evil"" ways long enough to help out some children in difficulty."
Gretchen the Greenhorn,movie,"Crime, Drama, Romance","Chester M. Franklin, Sidney Franklin",5.7,"JUDUL: Gretchen the Greenhorn | TIPE: movie | GENRE: Crime, Drama, Romance | SUTRADARA: Chester M. Franklin, Sidney Franklin | RATING IMDB: 5.7 | PLOT: A kindly Dutch immigrant and her bumbling father are blackmailed by a gang of counterfeiters."
The Half-Breed,movie,Western,Allan Dwan,6.6,JUDUL: The Half-Breed | TIPE: movie | GENRE: Western | SUTRADARA: Allan Dwan | RATING IMDB: 6.6 | PLOT: An outcast named Lo Dorman encounters a young woman lost in the woods. He defends her from danger in the forest and from Sheriff Dunn.
Hell's Hinges,movie,"Romance, Western","Charles Swickard, William S. Hart",6.8,"JUDUL: Hell's Hinges | TIPE: movie | GENRE: Romance, Western | SUTRADARA: Charles Swickard, William S. Hart | RATING IMDB: 6.8 | PLOT: In the wayward western town known as Hell's Hinges, a local tough guy is reformed by the faith of a good woman."
His Picture in the Papers,movie,Comedy,John Emerson,5.9,"JUDUL: His Picture in the Papers | TIPE: movie | GENRE: Comedy | SUTRADARA: John Emerson | RATING IMDB: 5.9 | PLOT: A young man can only get the woman he loves if he becomes famous and manages to get his picture in the newspapers. He determines to let nothing stand in the way of his doing exactly that, ..."
Hoodoo Ann,movie,"Comedy, Drama, Romance",Lloyd Ingraham,5.6,"JUDUL: Hoodoo Ann | TIPE: movie | GENRE: Comedy, Drama, Romance | SUTRADARA: Lloyd Ingraham | RATING IMDB: 5.6 | PLOT: A little orphan girl believes that her life is falling apart. It seems that everything that could possibly go wrong does go wrong. However, certain things happen that begin to make her ..."
Intolerance,movie,"Drama, History",D.W. Griffith,7.8,"JUDUL: Intolerance | TIPE: movie | GENRE: Drama, History | SUTRADARA: D.W. Griffith | RATING IMDB: 7.8 | PLOT: The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history."
Judex,movie,"Adventure, Crime",Louis Feuillade,7.4,"JUDUL: Judex | TIPE: movie | GENRE: Adventure, Crime | SUTRADARA: Louis Feuillade | RATING IMDB: 7.4 | PLOT: A twelve part serial following the adventures of the masked vigilante Judex as he fights against criminals led by the corrupt banker Favrauxom."
The Matrimaniac,movie,"Comedy, Romance",Paul Powell,6.0,"JUDUL: The Matrimaniac | TIPE: movie | GENRE: Comedy, Romance | SUTRADARA: Paul Powell | RATING IMDB: 6.0 | PLOT: A young couple attempts to elope, with the bride's irate father in hot pursuit. The train stops briefly and the young man dashes off to find a minister, but before he can get himself and ..."
Pikovaya dama,movie,"Drama, Fantasy, Horror",Yakov Protazanov,7.0,"JUDUL: Pikovaya dama | TIPE: movie | GENRE: Drama, Fantasy, Horror | SUTRADARA: Yakov Protazanov | RATING IMDB: 7.0 | PLOT: While hosting a game of cards one night, Narumov tells his friends a story about his grandmother, a Countess. As a young woman, she had once incurred an enormous gambling debt, which she ..."
Reggie Mixes In,movie,"Action, Comedy, Drama",Christy Cabanne,4.7,"JUDUL: Reggie Mixes In | TIPE: movie | GENRE: Action, Comedy, Drama | SUTRADARA: Christy Cabanne | RATING IMDB: 4.7 | PLOT: Reggie, a wealthy young man about town, is eager for excitement, so he takes to visiting the rougher sections of the city in search of thrills. He meets and falls for a cabaret singer, but ..."
The Return of Draw Egan,movie,"Action, Adventure, Romance",William S. Hart,6.5,"JUDUL: The Return of Draw Egan | TIPE: movie | GENRE: Action, Adventure, Romance | SUTRADARA: William S. Hart | RATING IMDB: 6.5 | PLOT: Outlaw leader ""Draw"" Egan, believed dead, turns up in the town of Yellow Dog. The townsfolk believe him to be William Blake, a strong and law-abiding man. They appoint him sheriff to rid ..."
Schuhpalast Pinkus,movie,Comedy,Ernst Lubitsch,5.6,"JUDUL: Schuhpalast Pinkus | TIPE: movie | GENRE: Comedy | SUTRADARA: Ernst Lubitsch | RATING IMDB: 5.6 | PLOT: Sally Pinkus is an German-Jewish boy who takes a job as a shoe store clerk after being expelled from school for goofing around. Soon fired for trying to court the owner's daughter, Pinkus ..."
